"event_id","name","type","description","datetime","venue","tags","prerequisites","firstname","lastname","user_id","email","username"
"7fe92580-a8e2-11e6-8597-f9ef43490d96","London Philharmonic Orchestra","private","Aenean leo neque, fermentum sed, vehicula nec, luctus vitae, nisl. Donec eleifend ligula vel diam.",2017-07-09,"Ottakringer Brauerei","{ 'games' }","{ ‘Essen’ : ‘false’ }","Michael","Mayer","d206fed0-a4f7-11e6-91a5-1fc490c5cf69","michael.mayer@spengergasse.at","michaelmayer61"
"7feafa40-a8e2-11e6-8597-f9ef43490d96","Wien Modern","private","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2017-11-25,"Marx Halle","{ 'games' }","{ ‘Dress Code’ : ‘Casual’ }","Alyssa","Jung","d208ac80-a4f7-11e6-91a5-1fc490c5cf69","alyssa.jung@haralson.com","alyssajung155"
"7feafa41-a8e2-11e6-8597-f9ef43490d96","Wahlkampfveranstaltung","private","Suspendisse potenti. Mauris iaculis. Nunc scelerisque, turpis et venenatis aliquam, urna libero pellentesque ipsum, sed pharetra massa nisi at lectus.",2017-12-01,"Sofitel Vienna Stephansdom","{ 'markt' }","{ ‘Mindestgröße’ : ‘169cm’ }","Alexander","Zimmermann","d208d390-a4f7-11e6-91a5-1fc490c5cf69","alexander.zimmermann@company.at","alexanderzimmermann123"
"7feafa42-a8e2-11e6-8597-f9ef43490d96","kein Sonntag ohne Techno","type3","Nunc tellus elit, dictum lobortis, venenatis a, blandit nec, ligula. Pellentesque eu ipsum a erat lobortis faucibus.",2017-03-22,"Louisiana Blues Pub","{ 'music' }","{ ‘Haarfarbe’ : ‘schwarz’ }","Anya","Fischer","d208d391-a4f7-11e6-91a5-1fc490c5cf69","anya.fischer@comundo.at","anyafischer151"
"7feb2150-a8e2-11e6-8597-f9ef43490d96","Finest Spirits","public","Quisque molestie massa eu odio. Vestibulum venenatis. Phasellus id odio. Duis magna. Curabitur et magna. Suspendisse elementum tempor lectus. Pellentesque id nunc quis odio placerat mattis. Praesent a tortor.",2017-03-11,"Phil","{ 'vinatge' }","{ ‘Essen’ : ‘true’ }","Tom","Lang","d208d392-a4f7-11e6-91a5-1fc490c5cf69","tom.lang@gmail.com","tomlang44"
"7feb2151-a8e2-11e6-8597-f9ef43490d96","Rave Patry","type3","Fusce nec nisl nec nisi porttitor viverra. Sed lacinia velit. Nullam porttitor. Nam nec dolor. Sed blandit. Nulla facilisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2017-01-13,"Hofburg","{ 'prom' }","{ ‘Haarfarbe’ : ‘schwarz’ }","Klaus","Schwarz","d208d393-a4f7-11e6-91a5-1fc490c5cf69","klaus.schwarz@example.com","klausschwarz213"
"7feb2152-a8e2-11e6-8597-f9ef43490d96","Der Zauberer von Oz","private","Nulla facilisi. Sed luctus, quam eu volutpat congue, mauris leo sodales augue, sit amet vehicula nisl lorem a lectus.",2017-01-19,"Hofburg","{ 'weinverkostung' }","{ ‘smartphone’ : ‘true’ }","Constantin","Huber","d208d394-a4f7-11e6-91a5-1fc490c5cf69","constantin.huber@example.at","constantinhuber32"
"7feb2153-a8e2-11e6-8597-f9ef43490d96","Wiener Schmucktage","public","Fusce nec nisl nec nisi porttitor viverra. Sed lacinia velit. Nullam porttitor. Nam nec dolor. Sed blandit. Nulla facilisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2017-05-27,"Wiener Konzerthaus","{ 'dance' }","{ ‘Essen’ : ‘true’ }","Adrian","Lang","d208d395-a4f7-11e6-91a5-1fc490c5cf69","adrian.lang@mail.at","adrianlang4"
"7feb2154-a8e2-11e6-8597-f9ef43490d96","Be Loved (voga)","private","Fusce nec nisl nec nisi porttitor viverra. Sed lacinia velit. Nullam porttitor. Nam nec dolor. Sed blandit. Nulla facilisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2017-11-22,"Fluc","{ 'green' }","{ ‘Preis’ : ‘50€’ }","Leonas","Wolf","d208d396-a4f7-11e6-91a5-1fc490c5cf69","leonas.wolf@example.at","leonaswolf38"
"7feb2155-a8e2-11e6-8597-f9ef43490d96","saunieren statt studieren","private","Suspendisse potenti. Mauris iaculis. Nunc scelerisque, turpis et venenatis aliquam, urna libero pellentesque ipsum, sed pharetra massa nisi at lectus.",2017-07-12,"Haus der Musik","{ 'culture' }","{ ‘Dress Code’ : ‘Informal’ }","Sophie","Neumann","d208d397-a4f7-11e6-91a5-1fc490c5cf69","sophie.neumann@microsoft.com","sophieneumann16"
